Name,Country,Team,Position,Appearances,Goals,Interceptions,Time Played (min),Fouls Conceded,Total Passes,Touches,Yellow Cards
Aarón Escandell,ES,LPA,Goalkeeper,2,0,0,152,0,75,92,0
Abde Ezzalzouli,MA,BET,Forward,26,1,5,854,9,313,583,1
Abde Raihani,MA,ATM,Forward,1,0,0,9,0,0,2,0
Abde Rebbach,DZ,ALA,Midfielder,23,1,3,714,13,148,375,1
Abdel Abqar,MA,ALA,Defender,27,0,23,2314,33,753,1067,10
Abdul Mumin,GH,RAY,Defender,20,1,22,1695,15,767,984,5
Abdón Prats,ES,MLL,Forward,34,6,2,1258,18,231,414,3
Abner Vinícius da Silva Santos,BR,BET,Defender,23,0,15,1397,16,609,1000,3
Abraham del Moral,ES,VIL,Defender,0,0,0,0,0,0,0,0
Adnan Januzaj,BE,SEV,Midfielder,8,0,1,187,3,77,135,0
Adri Embarba,ES,ALM,Forward,36,3,15,2485,37,733,1456,5
Adri López,ES,GRA,Goalkeeper,0,0,0,0,0,0,0,0
Adrià Alti,ES,VIL,Defender,11,0,5,779,11,400,574,3
Adrià Pedrosa,ES,SEV,Defender,31,1,15,1749,6,664,1255,1
Adrián Niño,ES,ATM,Forward,0,0,0,0,0,0,0,0
Adrián Rodríguez,AR,ALA,Goalkeeper,0,0,0,0,0,0,0,0
Agustín Marchesín,AR,NONE,NONE,0,0,0,0,0,0,0,0
Aiham Hanz Ousou,SY,CAD,Defender,6,0,7,429,4,179,226,0
Aihen Muñoz,ES,RSO,Defender,21,0,9,1120,17,506,873,2
Aimar Oroz,ES,OSA,Forward,33,2,16,2351,39,1011,1413,3
Aingeru Olabarrieta,ES,ATH,Forward,1,0,0,8,0,3,6,0
Aitor Fernández,ES,OSA,Goalkeeper,7,0,0,550,0,177,219,2
Aitor Fraga,ES,RSO,Goalkeeper,0,0,0,0,0,0,0,0
Aitor Gismera,ES,ATM,Midfielder,0,0,0,0,0,0,0,0
Aitor Paredes,ES,ATH,Defender,34,1,33,2706,37,1551,1823,7
Aitor Ruibal,ES,BET,Forward,18,2,14,1015,16,473,808,5
Alberto Dadie,ES,RSO,Midfielder,1,0,0,27,4,6,16,0
Alberto Flores,ES,SEV,Goalkeeper,0,0,0,0,0,0,0,0
Alberto Marí,ES,VAL,Forward,16,1,0,264,10,59,114,0
Alberto Moleiro,ES,LPA,Midfielder,28,3,7,1807,17,696,1076,1
Alberto Moreno,ES,VIL,Defender,27,2,24,1490,24,594,923,1
Alberto Perea,ES,NONE,NONE,0,0,0,0,0,0,0,0
Alberto Risco,ES,GET,Midfielder,4,0,0,135,1,43,69,0
Alberto Soro,ES,NONE,NONE,0,0,0,0,0,0,0,0
Aleix García,ES,GIR,Midfielder,37,3,36,3201,29,2724,3306,4
Aleix Garrido,ES,BAR,Midfielder,0,0,0,0,0,0,0,0
Alejandro Balde,ES,BAR,Defender,18,0,5,1378,9,669,1033,1
Alejandro Catena,ES,OSA,Defender,30,1,15,2536,47,1333,1610,8
Alejandro Herranz,ES,GET,Defender,0,0,0,0,0,0,0,0
Alejandro Quevedo,ES,MLL,Goalkeeper,0,0,0,0,0,0,0,0
Alejo Véliz,AR,SEV,Forward,6,0,0,31,4,6,15,0
Aleksandar Radovanovic,RS,ALM,Defender,9,0,11,571,7,196,283,2
Aleksandar Sedlar,RS,ALA,Defender,11,1,13,948,14,403,510,2
Alex Berenguer,ES,ATH,Forward,35,7,5,1580,30,444,895,4
Alejandro González Gorrin,ES,NONE,NONE,0,0,0,0,0,0,0,0
Alexander Sørloth,NO,VIL,Forward,34,23,0,2491,34,462,900,3
Alfonso Espino,UY,RAY,Defender,31,0,41,2512,45,1110,1841,9
Alfonso Pedraza,ES,VIL,Forward,19,1,14,1119,14,438,774,4
Amath Ndiaye,SN,VLL,Forward,9,5,3,574,12,164,308,2
Ander Astralaga,ES,BAR,Goalkeeper,0,0,0,0,0,0,0,0
Ander Barrenetxea,ES,RSO,Forward,29,4,6,1436,27,499,895,1
Ander Guevara,ES,ALA,Midfielder,37,1,13,2935,48,1456,1820,7
Ander Herrera,ES,ATH,Midfielder,23,0,15,1023,21,737,934,4
Ander Sánchez,ES,ALA,Midfielder,0,0,0,0,0,0,0,0
Andoni Gorosabel,ES,ALA,Defender,36,1,28,2863,29,959,1732,6
Andreas Christensen,DK,BAR,Defender,30,2,21,1990,26,1564,1747,4
Andrei Ratiu,RO,RAY,Defender,12,0,0,627,2,239,414,1
Andrii Lunin,UA,RMA,Goalkeeper,21,0,0,1890,0,569,779,2
Domingos André Ribeiro Almeida,PT,VAL,Midfielder,18,2,6,968,12,379,564,0
André Filipe Magalhães Ribeiro Ferreira,PT,VLL,Goalkeeper,0,0,0,0,0,0,0,0
André Miguel Valente da Silva,PT,RSO,Forward,19,3,1,729,14,160,269,1
Andrés Guardado,MX,NONE,NONE,0,0,0,0,0,0,0,0
Ansu Fati,ES,BHA,Forward,19,2,3,514,6,204,325,2
Antal Yaakobishvili,HU,GIR,Defender,1,0,3,60,1,42,51,0
Ante Budimir,HR,OSA,Forward,33,17,5,2448,40,427,806,4
Anthony Lozano,HN,ALM,Forward,13,3,2,778,22,131,286,1
Antoine Griezmann,FR,ATM,Forward,33,16,10,2654,16,1246,1736,5
Antonio Blanco,ES,ALA,Midfielder,33,0,35,2436,36,1031,1386,5
Antonio Gomis,ES,ATM,Goalkeeper,0,0,0,0,0,0,0,0
José Antonio Rodríguez Díaz,ES,GRA,Midfielder,27,0,6,720,21,185,363,3
Antonio Raíllo,ES,MLL,Defender,26,3,37,2198,32,1154,1467,4
Antonio Rüdiger,DE,RMA,Defender,33,1,11,2707,26,1798,2040,7
Antonio Sivera,ES,ALA,Goalkeeper,34,0,0,3060,0,986,1273,3
Antonio Sánchez,ES,MLL,Midfielder,29,3,13,1463,26,490,789,3
Arda Güler,TR,RMA,Midfielder,10,6,2,373,11,203,298,1
Aridane Hernández,ES,RAY,Defender,19,0,14,1691,11,784,979,3
Aristide Njalla,CM,CAD,Midfielder,0,0,0,0,0,0,0,0
Aritz Elustondo,ES,RSO,Defender,15,0,7,808,9,430,566,2
Arnau Martínez,ES,GIR,Defender,21,0,10,1240,14,749,1002,5
Arnau Puigmal,ES,ELC,Midfielder,13,0,6,592,6,179,330,1
Arsen Zakharyan,RU,RSO,Midfielder,29,1,4,1230,21,454,718,1
Artem Dovbyk,UA,GIR,Forward,36,24,0,2605,27,386,672,2
Arthur Vermeeren,BE,ATM,Midfielder,5,0,6,159,7,89,122,2
Arvin Appiah,GB-ENG,NONE,NONE,0,0,0,0,0,0,0,0
Asier Osambela,ES,OSA,Midfielder,1,0,0,9,1,5,10,0
Asier Villalibre,ES,ATH,Forward,18,2,0,503,7,122,206,0
Assane Diao,ES,BET,Forward,18,2,7,1052,12,254,558,4
Augusto Batalla,AR,GRA,Goalkeeper,17,0,0,1530,0,610,800,3
Aurélien Tchouaméni,FR,RMA,Midfielder,27,3,28,1987,20,1490,1778,7
Axel Witsel,BE,ATM,Midfielder,35,2,16,2784,24,1819,2152,5
Ayoze Pérez,ES,BET,Forward,31,9,22,2307,36,710,1278,4
Aïssa Mandi,DZ,VIL,Defender,16,1,8,1113,7,729,835,3
Tiago Manuel Dias Correia,CV,RAY,Midfielder,19,2,0,194,0,68,165,1
Ben Brereton,CL,SHU,Forward,14,6,3,1110,11,254,440,3
Benito Ramírez,ES,LPA,Midfielder,20,1,3,368,4,151,258,0
Bernardo Espinosa,CO,NONE,NONE,0,0,0,0,0,0,0,0
Bertrand Traoré,BF,VIL,Midfielder,11,1,1,569,7,201,338,4
Beñat Prados,ES,ATH,Midfielder,26,0,23,1450,29,782,1058,1
Beñat Turrientes,ES,RSO,Midfielder,29,0,6,1688,36,685,949,4
Borja García,ES,GIR,Midfielder,0,0,0,0,0,0,0,0
Borja Iglesias,ES,LVK,Forward,7,0,1,252,2,73,105,0
Borja Mayoral,ES,GET,Forward,27,15,4,2161,31,533,848,2
Borja Vázquez,ES,CAD,Forward,1,0,0,3,0,1,5,0
Boubakary Soumaré,FR,SEV,Midfielder,28,0,26,2286,33,1226,1488,10
Brahim Díaz,MA,RMA,Midfielder,31,8,5,1551,22,697,1105,0
Brais Méndez,ES,RSO,Midfielder,32,5,12,2420,58,1129,1688,7
Brian Ocampo,UY,CAD,Midfielder,13,1,3,237,9,107,208,2
Bruno Iribarne,ES,ALM,Goalkeeper,0,0,0,0,0,0,0,0
Bruno Alberto Langa,MZ,ALM,Defender,11,1,4,819,4,317,538,1
